#####################################################################
# Alchemist log file - simulation started at: 2019-09-21T01:41+0000 #
#####################################################################
# seed = 56.0, stage_width = 1000
#
# The columns have the following meaning: 
# time rep-bcast[Sum] rep-ccast[Sum] share-bcast[Sum] share-ccast[Sum] rep-bcast-single[Sum] rep-ccast-single[Sum] share-bcast-single[Sum] share-ccast-single[Sum] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN 
1.0001691219062383 NaN NaN NaN NaN NaN NaN NaN NaN 
2.000169121906238 NaN NaN NaN NaN NaN NaN NaN 1.1369885349000366 
3.000169121906239 NaN NaN NaN NaN NaN NaN NaN 2.070896126922907 
4.000169121906239 NaN NaN 1.4129741778297706 1.8736246604867801 NaN NaN 1.4129741778297706 2.979876805391708 
5.00016912190624 NaN NaN 1.7757898424533138 2.9961115694340883 NaN NaN 1.7757898424533138 4.102363714339016 
6.000169121906241 NaN NaN 2.0972314077051744 2.9961115694340883 NaN NaN 2.0972314077051744 4.102363714339016 
7.000169121906242 NaN NaN 2.0972314077051744 4.29960489889025 NaN NaN 2.0972314077051744 5.405857043795177 
8.000169121906243 NaN NaN 2.488722743659018 5.19756106710932 NaN NaN 2.488722743659018 6.303813212014248 
9.00004345111442 NaN NaN 1.2261634941860136 3.0349233447922934 NaN NaN 1.2261634941860136 3.0349233447922934 
10.000169121906236 NaN NaN 2.3413956490620818 3.0349233447922934 NaN NaN 2.3413956490620818 3.0349233447922934 
11.000169121906232 NaN NaN 1.8128509639270831 2.7186444003300867 NaN NaN 1.8128509639270831 2.7186444003300867 
12.000169121906229 NaN NaN 1.8128509639270831 3.3528132152751375 NaN NaN 1.8128509639270831 3.3528132152751375 
13.000169121906225 NaN NaN 2.0294548556958336 3.936822437230731 NaN NaN 2.0294548556958336 3.936822437230731 
14.000008616826417 12.252428789057277 NaN 1.599111085760729 2.5785036314784957 12.252428789057277 NaN 1.599111085760729 2.5785036314784957 
15.000169121906218 12.501256872817324 NaN 2.1714462642863683 1.3601011215832592 12.501256872817324 13.842002128819386 2.1714462642863683 1.3601011215832592 
16.000169121906215 13.691941283936009 NaN 2.325543665541291 2.240322219301186 13.691941283936009 14.722223226537313 2.325543665541291 2.240322219301186 
17.000152430046196 14.059265480481756 NaN 1.407938380867348 3.130795993981142 14.059265480481756 13.062734288487462 1.407938380867348 3.130795993981142 
18.000169121906207 14.18442749269116 NaN 1.5516072968655976 3.2420675373810344 14.18442749269116 14.330350232368588 1.5516072968655976 3.2420675373810344 
19.000035725958025 14.18442749269116 NaN 1.5516072968655976 3.79474652244898 14.18442749269116 14.883029217436533 1.5516072968655976 3.79474652244898 
20.0001691219062 13.013525110327405 NaN 1.5390692090241878 4.797500268224583 13.013525110327405 15.885782963212137 1.5390692090241878 4.797500268224583 
21.00009660379386 14.132449772536736 NaN 2.105314886165573 1.7866946683080904 14.132449772536736 12.676100116230412 2.105314886165573 1.7866946683080904 
22.000169121906193 12.838228439025217 NaN 2.0473022819729643 2.483524979927669 12.838228439025217 13.37293042784999 2.0473022819729643 2.483524979927669 
23.00016912190619 13.584134875611932 NaN 1.4900896110704345 3.3259824593883316 13.584134875611932 14.215387907310653 1.4900896110704345 3.3259824593883316 
24.000032054050223 14.306006432699151 NaN 1.5151308565380752 4.4697708063180315 14.306006432699151 15.359176254240353 1.5151308565380752 4.4697708063180315 
25.000169121906183 13.258628037344513 NaN 1.7618845303639468 1.7039917480493791 13.258628037344513 13.475275659734228 1.7618845303639468 1.7039917480493791 
26.000137123739403 13.3265594692597 13.56480641844031 1.3932004311402046 2.4404471265343943 13.3265594692597 14.933602595306462 1.3932004311402046 2.4404471265343943 
27.000169121906175 14.49143959412228 13.171771672428857 2.5580805560027855 3.235634689076658 14.49143959412228 13.171771672428857 2.5580805560027855 3.235634689076658 
28.000169121906172 11.559386376593803 14.719629783577414 1.5184106981460879 2.4081721781228502 11.559386376593803 14.719629783577414 1.5184106981460879 2.4081721781228502 
29.000103356608914 11.559386376593803 15.561631543127476 1.5184106981460879 2.085293812810331 11.559386376593803 15.561631543127476 1.5184106981460879 2.085293812810331 
30.000025586611482 13.10202067396622 13.056866530188277 2.198542134722519 2.0149447597818657 13.10202067396622 13.056866530188277 2.198542134722519 2.0149447597818657 
31.00016912190616 12.620700247424416 13.698861921222697 2.0101596272271536 2.656940150816286 12.620700247424416 13.698861921222697 2.0101596272271536 2.656940150816286 
32.00016912190616 12.620700247424416 14.60748096905052 2.0101596272271536 2.0229249012716934 12.620700247424416 14.60748096905052 2.0101596272271536 3.5655591986441095 
33.000169121906175 11.146616919910539 13.190861047771243 1.523670213713853 2.895525526710337 11.146616919910539 13.190861047771243 1.523670213713853 4.438159824082753 
34.00016912190619 12.458784689725771 14.044158904198696 1.9272189357012621 3.7488233831377897 12.458784689725771 14.044158904198696 1.9272189357012621 5.291457680510206 
35.000169121906204 11.991118466029935 11.906976625133943 2.1262398776470235 4.888425383451562 11.991118466029935 11.906976625133943 2.1262398776470235 6.431059680823978 
36.00016912190622 13.21910205096658 12.687324021099215 1.3613236058424434 1.7186289424438783 13.21910205096658 12.687324021099215 1.3613236058424434 1.7186289424438783 
37.00016912190623 13.835667543899472 13.338628370929982 1.9778890987753357 2.0201832819774594 13.835667543899472 13.338628370929982 1.9778890987753357 2.0201832819774594 
38.00016912190625 13.546243429481049 13.99697929102706 2.5629111564312126 2.6785342020745375 13.546243429481049 13.99697929102706 2.5629111564312126 2.6785342020745375 
39.00016912190626 13.18571755529917 13.351902798923092 2.287536310903583 4.408778332072934 13.18571755529917 13.351902798923092 2.287536310903583 4.408778332072934 
40.000169121906275 13.18571755529917 14.427999333293066 2.287536310903583 2.274956334952222 13.18571755529917 14.427999333293066 2.287536310903583 2.274956334952222 
41.000124209163516 14.404965990693931 15.412566062712543 1.962501580027478 2.1617220029813424 14.404965990693931 15.412566062712543 1.962501580027478 2.1617220029813424 
42.0001691219063 15.100452282096786 15.185228688020683 1.5327670157780133 3.099264753152063 15.100452282096786 15.185228688020683 1.5327670157780133 3.099264753152063 
43.00016912190632 13.895018722464023 15.908973923581957 1.7326265974243924 3.8230099887133377 13.895018722464023 15.908973923581957 1.7326265974243924 3.8230099887133377 
44.00016912190633 13.895018722464023 15.449301360427832 1.7326265974243924 1.867259776477134 13.895018722464023 15.449301360427832 1.7326265974243924 1.867259776477134 
45.000126642141346 14.388565172376016 16.59601127005432 1.59620396276447 1.8295433750377654 14.388565172376016 16.59601127005432 1.59620396276447 1.8295433750377654 
46.00016912190636 14.388565172376016 16.375656139831506 1.59620396276447 3.151822542187368 14.388565172376016 15.036681637424238 1.59620396276447 3.151822542187368 
47.000169121906374 14.548887419222169 17.286089167369326 1.518435347811959 2.5356700212127947 14.548887419222169 15.947114664962058 1.518435347811959 2.5356700212127947 
48.00002445196701 13.057389421615497 15.417986806346448 1.570158665235553 3.30554372734764 13.057389421615497 14.105819036531216 1.570158665235553 3.30554372734764 
