#####################################################################
# Alchemist log file - simulation started at: 2019-02-22T06:47+0000 #
#####################################################################
# seed = 118.0
#
# The columns have the following meaning: 
# time distance-rep[Mean] leader-rep[CountDistinct] distance-share[Mean] leader-share[CountDistinct] 
0.0 NaN NaN NaN NaN 
1.0038153623790005 0.0 237.0 0.0 236.0 
2.002275562475198 0.0 147.0 0.0 158.0 
3.001651537842945 0.0 106.0 0.0 132.0 
4.000571215964498 0.0 79.0 0.0 112.0 
5.002719080639323 0.0 67.0 0.0 108.0 
6.000864099781512 0.0 59.0 0.0 106.0 
7.000720368901471 0.0 48.0 0.0 102.0 
8.001826904647809 0.0 40.0 0.0 98.0 
9.001302820130913 0.0 37.0 0.0 95.0 
10.00005138386441 0.07511381511759949 34.0 0.0 91.0 
11.000706519982806 0.18825690754893917 31.0 0.0 90.0 
12.000923286408185 0.2674858144071831 31.0 0.0 88.0 
13.001826904647809 0.43306226863894315 29.0 0.0 85.0 
14.002073958254156 0.9779351163171148 29.0 0.0 84.0 
15.00031637776187 1.4091210593039911 28.0 0.0 83.0 
16.00026991439838 2.047392977391203 27.0 0.0 82.0 
17.0012944891216 2.709718775904491 26.0 0.0 78.0 
18.000501886373804 2.8448624306154495 25.0 0.0 77.0 
19.003727554653967 2.896398683461429 24.0 0.0 76.0 
20.001048484395486 3.5712992494249316 24.0 0.0 74.0 
21.002126235702864 3.9064112642578444 21.0 0.0 72.0 
22.000165395355346 3.845366978555797 20.0 0.0 71.0 
23.001826904647807 4.095950547063534 20.0 0.0 68.0 
24.00032804136535 4.194227598064723 20.0 0.0 67.0 
25.002719080639324 4.627238524235643 20.0 0.0 67.0 
26.006026500332503 5.148621917121738 18.0 0.0 66.0 
27.001451400475297 5.653542428699621 18.0 0.0 64.0 
28.001826904647807 6.113979465545658 18.0 0.0 63.0 
29.005202423400377 6.060633899766634 18.0 0.0 63.0 
30.000151159240744 7.461592277983063 15.0 0.0 61.0 
31.00052732490763 8.252155894070732 14.0 0.0 58.0 
32.001425487439775 8.636098987722555 14.0 0.0 57.0 
33.00182690464781 8.865125746029959 14.0 0.0 57.0 
34.000815124865326 9.015733459757023 14.0 0.0 54.0 
35.00066282898355 9.39297242908124 14.0 0.0 54.0 
36.00261708797973 9.157524384274138 14.0 0.0 50.0 
37.00040740832478 9.833642367675717 14.0 0.0 51.0 
38.00092255964378 10.375239341433868 13.0 0.0 48.0 
39.00520242340038 12.947796645681105 12.0 0.0 48.0 
40.002719080639324 17.967643072652645 11.0 0.0 48.0 
41.00090487534251 21.80074807481457 12.0 0.0 48.0 
42.00196491570095 22.981741769042113 12.0 0.0 47.0 
43.001070806130485 21.958632775863478 12.0 0.0 46.0 
44.001775284940834 21.964549099799928 12.0 0.0 45.0 
45.00043604212443 22.63270397584283 12.0 0.0 43.0 
46.004104004171175 24.14761763587404 12.0 0.0 43.0 
