#####################################################################
# Alchemist log file - simulation started at: 2019-02-25T20:04+0000 #
#####################################################################
# seed = 45.0
#
# The columns have the following meaning: 
# time distance-rep[Mean] distance-rep[Max] leader-rep[CountDistinct] distance-share[Mean] distance-share[Max] leader-share[CountDistinct] 
0.0 NaN NaN NaN NaN NaN NaN 
1.0017203571734519 0.0 0.0 499.0 0.0 0.0 71.0 
2.0006549534759888 0.0 0.0 114.0 0.0 0.0 67.0 
3.001940616935958 0.0 0.0 99.0 0.0 0.0 60.0 
4.00050734615185 0.0 0.0 99.0 0.0 0.0 53.0 
5.001160998583606 0.0 0.0 94.0 0.0 0.0 48.0 
6.0005822233686885 0.0 0.0 93.0 0.0 0.0 41.0 
7.000477297538242 0.0 0.0 91.0 0.0 0.0 39.0 
8.002892494686906 0.0 0.0 86.0 0.0 0.0 37.0 
9.000157315677532 0.0 0.0 83.0 0.0 0.0 36.0 
10.002516662544675 0.0 0.0 83.0 0.0 0.0 35.0 
11.00198470141517 0.0 0.0 74.0 0.0 0.0 34.0 
12.000616112049713 0.0 0.0 70.0 0.0 0.0 32.0 
13.000940069833128 0.0 0.0 69.0 0.0 0.0 31.0 
14.001420096522887 0.0 0.0 64.0 0.0 0.0 31.0 
15.002516662544675 0.0 0.0 65.0 0.03247703483582915 16.238517417914466 29.0 
16.00307470399959 0.0 0.0 60.0 0.017585052560177814 8.792526280088936 29.0 
17.00105648545748 0.0 0.0 57.0 0.0 0.0 31.0 
18.000771184257317 0.0 0.0 57.0 0.0 0.0 29.0 
19.001904717119587 0.0 0.0 53.0 0.0 0.0 29.0 
20.00248490899927 0.0 0.0 54.0 0.0 0.0 22.0 
21.001309970417402 0.0 0.0 53.0 0.0 0.0 24.0 
22.0036405741793 0.0 0.0 52.0 0.0 0.0 22.0 
23.003696399149156 0.0 0.0 52.0 0.0 0.0 22.0 
24.00180149347856 0.0 0.0 48.0 0.0 0.0 22.0 
25.000301818444093 0.0 0.0 50.0 0.0 0.0 22.0 
26.00218523956977 0.0 0.0 47.0 0.0 0.0 22.0 
27.0036405741793 0.0 0.0 45.0 0.0 0.0 21.0 
28.004007619188915 0.0 0.0 46.0 0.0 0.0 21.0 
29.000931587098417 0.0 0.0 43.0 0.0 0.0 20.0 
30.001139648623372 0.0 0.0 42.0 0.0 0.0 21.0 
31.000659557715554 0.0 0.0 40.0 0.0 0.0 20.0 
32.0013304407037 0.0 0.0 40.0 0.0 0.0 22.0 
33.002249712984224 0.0 0.0 40.0 0.0 0.0 21.0 
34.00610296891851 0.0 0.0 39.0 0.0 0.0 21.0 
35.00236179241656 0.0 0.0 37.0 0.0 0.0 20.0 
36.000853371049466 0.0 0.0 36.0 0.0 0.0 19.0 
37.0036405741793 0.0 0.0 35.0 0.0 0.0 20.0 
38.002950382616646 0.0 0.0 34.0 0.0 0.0 20.0 
39.00436040679268 0.0 0.0 33.0 0.0 0.0 20.0 
40.00251666254468 0.0 0.0 33.0 0.0 0.0 20.0 
41.002060780912124 0.0 0.0 32.0 0.0 0.0 20.0 
42.00118449168601 0.0 0.0 33.0 0.0 0.0 20.0 
43.000585209654346 0.0 0.0 32.0 0.0 0.0 19.0 
44.00112610279638 0.0 0.0 31.0 0.0 0.0 19.0 
45.00251666254468 0.0 0.0 33.0 0.0 0.0 18.0 
46.000372161073436 0.0 0.0 32.0 0.0 0.0 18.0 
47.0006548537166 0.0 0.0 32.0 0.0 0.0 18.0 
48.00385252607475 0.0 0.0 33.0 0.0 0.0 18.0 
49.008070492204226 0.0 0.0 33.0 0.0 0.0 18.0 
50.00251666254468 0.0 0.0 31.0 0.0 0.0 19.0 
51.00193717837796 0.0 0.0 31.0 0.0 0.0 19.0 
52.00072094244945 0.0 0.0 32.0 0.0 0.0 19.0 
53.00015214105401 0.0 0.0 32.0 0.0 0.0 19.0 
54.000044689353 0.0 0.0 32.0 0.0 0.0 19.0 
55.001794652580955 0.0 0.0 32.0 0.0 0.0 19.0 
56.00090097764508 2.563265768791335E-4 0.12816328843956626 32.0 0.0 0.0 19.0 
57.000028160744485 0.0 0.0 32.0 0.0 0.0 18.0 
58.003258160985276 0.013542622563650885 4.612282582220246 31.0 0.0 0.0 18.0 
59.000438277906774 0.004318057399210418 2.1590286996052157 31.0 0.0 0.0 18.0 
60.00125753012283 0.004318057399210418 2.1590286996052157 31.0 0.0 0.0 18.0 
61.000469733669384 0.004318057399210418 2.1590286996052157 32.0 0.0 0.0 18.0 
62.000379933227684 0.019977875318708413 7.829908959748934 31.0 0.0 0.0 18.0 
63.004794578062395 0.031873427471405494 8.106804775953776 29.0 0.0 0.0 18.0 
64.000290654018 0.015659817919497936 7.829908959748934 30.0 0.0 0.0 18.0 
65.0002422572845 0.015659817919497936 7.829908959748934 29.0 0.0 0.0 18.0 
66.00167531497779 0.07004524296717803 18.791442450500426 27.0 0.0 0.0 18.0 
67.00095796792611 0.0 0.0 26.0 0.0 0.0 17.0 
68.0019584081432 0.0 0.0 26.0 0.0 0.0 17.0 
69.00061863568227 0.0 0.0 25.0 0.0 0.0 17.0 
70.00066934070449 0.0 0.0 25.0 0.0 0.0 17.0 
