#####################################################################
# Alchemist log file - simulation started at: 2019-02-22T06:52+0000 #
#####################################################################
# seed = 132.0
#
# The columns have the following meaning: 
# time distance-rep[Mean] leader-rep[CountDistinct] distance-share[Mean] leader-share[CountDistinct] 
96.00006854301483 8.866320921403906 11.0 0.015611066581954292 31.0 
97.00272406060053 8.995251028004954 11.0 0.10100345328525027 31.0 
98.00314730354097 8.963216481886642 11.0 0.213129610271445 31.0 
99.0004449515643 8.427571092154002 11.0 0.4369290778111116 31.0 
100.000482181962 8.37571625213114 11.0 0.5317226994506099 31.0 
101.00327614932321 8.339722183178344 11.0 0.5415534989820215 31.0 
102.00170655237326 8.121240934175677 12.0 0.5428125667210086 30.0 
103.00250215242961 7.854672274970683 13.0 0.5670053042857189 31.0 
104.0049712920055 7.763473698452647 12.0 0.6287197821793813 32.0 
105.00278458324674 7.8642955714161005 12.0 0.6662765854647295 32.0 
106.00222332004775 8.010833532128851 12.0 1.0567243616009039 32.0 
107.00197715939439 8.025879527280823 12.0 1.2147235094362077 32.0 
108.0009375430985 7.841520459379907 12.0 1.504321764582508 32.0 
109.00058739259082 8.071909078510965 12.0 1.6167740196027967 32.0 
110.00372909491679 8.488303910712265 11.0 1.6363928836363728 31.0 
111.00009113073226 8.512420427474254 11.0 2.170397754465932 32.0 
112.00377041063007 8.70759787945348 11.0 2.8583502326399453 31.0 
113.0016160931669 8.624100406044114 11.0 2.894067959357118 31.0 
114.00022216063815 8.692678931113855 11.0 3.6393706860351664 31.0 
115.00210867334003 8.956271901931393 12.0 3.7469054107001214 31.0 
116.00063232449557 9.192307486700383 12.0 3.427030803411193 31.0 
117.00107131171846 8.915414005404065 12.0 3.4659072752767583 30.0 
118.00163851614155 9.454840003507476 12.0 2.9517022975911757 31.0 
119.00171444645584 9.723198188653738 12.0 2.7845526510399368 31.0 
120.01123728360608 10.586889478938613 12.0 2.7779239362270367 31.0 
121.00030615548515 11.391322274033456 11.0 2.372518472651886 31.0 
122.00199381177573 12.011220172858462 12.0 2.6646251558963394 31.0 
123.00516088912465 12.523808516054048 12.0 2.877621780082024 31.0 
124.00165406956555 13.294376556808874 12.0 2.5554686504400737 30.0 
125.00025613372232 13.95208601569243 12.0 2.5685962108745874 29.0 
126.00506841572162 13.186683657928988 12.0 2.250920061000314 30.0 
127.00130560017551 12.790225079163307 12.0 2.1656182411373806 30.0 
128.0012199270949 14.090041726583495 12.0 2.210929458184926 29.0 
129.0002840312975 14.70317366186053 12.0 2.5483464245141136 27.0 
130.00239578512517 13.512436605234862 12.0 2.5601570526871757 27.0 
131.00104644632074 13.611645685057828 12.0 2.6293884615402505 28.0 
132.0041947015163 14.101333449206537 12.0 2.728040960056417 28.0 
133.00033191862698 13.741281121430054 12.0 2.7981118204757927 28.0 
134.00255906163753 14.350545706316156 12.0 2.9549304228115325 27.0 
135.00236426681613 14.429893290935675 12.0 3.1378937920779597 26.0 
136.00099356297176 14.5584811649359 12.0 3.5553144190952746 26.0 
137.00365498409883 14.866159277324613 12.0 4.322645370566065 27.0 
138.0026306163086 15.182513237043837 12.0 2.1537537896981154 31.0 
139.00060742091196 15.170674846786966 12.0 1.1875659831987075 33.0 
140.00106165802373 15.082460752486632 11.0 1.677418464378397 29.0 
141.0006671837196 15.210225814321447 11.0 1.8651421024206187 30.0 
142.0072206435065 14.794164499636643 11.0 2.0693873347215015 31.0 
143.00635874579388 14.844319244368213 11.0 1.877488509226553 30.0 
144.00316915483316 15.00549186110816 14.0 1.7200531885707389 31.0 
145.00301815618144 14.078791123288237 14.0 1.7476602716716418 31.0 
146.0001753002018 12.824895802358087 14.0 2.102851260856629 31.0 
147.0002473132365 12.577030734512556 15.0 2.2013044301816094 30.0 
148.00445130203178 12.284472684652838 15.0 2.0337058634343297 30.0 
149.00036118783365 13.125440573229298 13.0 1.8558200869034172 30.0 
150.00012568906803 13.182162755346692 13.0 1.883808752900889 30.0 
151.0016818477423 13.369381595883189 13.0 1.9292486282638053 29.0 
152.00308276228256 13.270832182678724 13.0 1.8420008864861257 29.0 
153.00077390112256 13.37993832847751 12.0 2.0053176889316613 29.0 
154.00280596573523 13.352497395007882 12.0 1.1737188798138083 29.0 
155.00142372011993 13.633994220710765 12.0 1.2269823526139803 29.0 
156.00034061815794 13.976891744129851 12.0 1.2301148794839396 29.0 
157.00260768883996 16.703838439907095 15.0 1.1480176206260713 35.0 
158.00209578627607 15.729617333289717 15.0 0.957927050778427 34.0 
159.00184102156936 14.31594931033643 15.0 1.0483636660018711 32.0 
160.0015273753263 11.890029582640217 14.0 0.898470108843557 32.0 
161.0002569176448 11.378943095815503 13.0 0.7263824376272654 32.0 
162.00693225818299 11.494677671544357 14.0 0.7538681973051408 31.0 
163.00313921427102 11.432100557564004 14.0 0.7636378504207932 33.0 
164.0000146611413 11.94190211959691 14.0 0.7900852522398356 32.0 
165.00703313820958 12.868917288382114 14.0 0.8121274839346276 32.0 
166.0008325272557 13.024710853968756 14.0 0.49801632123341094 30.0 
167.003144476346 13.159070513468512 16.0 0.49801632123341094 31.0 
168.00146562554696 12.913294257888854 16.0 0.5109729734421782 33.0 
169.005778801795 12.068829154902192 16.0 0.5305643590998769 32.0 
170.00052017639115 12.16555866626522 15.0 0.4900362308142729 31.0 
171.00082803089538 12.647223394271906 14.0 0.5516186385151154 32.0 
172.00382725121887 11.039522165192988 14.0 0.46526668613491534 31.0 
173.00004372107128 11.048454947650306 14.0 0.5316644507296073 31.0 
174.00086733359322 10.997186347180174 14.0 0.552907904446546 31.0 
175.00021225089137 11.248201359492178 13.0 0.5541033015858033 30.0 
176.00205949818542 12.052979785117747 13.0 0.5688498097441725 30.0 
177.00302469972843 12.142694332385794 13.0 0.5637756161730957 29.0 
178.00123457319512 12.265049038006666 13.0 0.6094021579076865 29.0 
179.00046934121735 12.295612408645333 13.0 0.5103716014673808 31.0 
180.00220899450068 12.823496914107476 13.0 0.4582874332912409 29.0 
181.00126631710975 12.88257664283802 13.0 0.48668576882756365 29.0 
182.00213567257433 13.081530956330031 13.0 0.4528402286051321 29.0 
183.00056737451186 12.797597360772752 13.0 0.4736907128293235 27.0 
184.0023146957235 12.831762943299326 13.0 0.594783104374247 26.0 
185.00041555236282 13.063821234589389 13.0 0.5988790666582493 26.0 
186.00531354434142 13.479616220236695 14.0 0.618550651924854 26.0 
187.00043966302306 13.591181945773359 14.0 1.0181822486945944 29.0 
188.00053370951017 12.542646788232105 18.0 0.9229014514684432 29.0 
189.00244070710156 11.311489404850569 15.0 0.9199905891415053 27.0 
190.00296280250876 9.25937524226133 16.0 0.9756360325662455 27.0 
191.00149004844883 8.927114518091708 16.0 1.0390527229713655 28.0 
192.0007937133096 7.942092643161206 15.0 1.0323127589220542 27.0 
193.0036743537688 7.951507147418706 15.0 1.115337236841964 27.0 
194.00513702360485 7.619309414294648 17.0 1.084658421742819 28.0 
195.00031956280858 8.09356679651098 16.0 1.0941981466299198 28.0 
196.00056925706903 8.646745497476296 15.0 1.0541623824346626 28.0 
197.00075158116272 8.924087187296129 15.0 1.0433933332804375 28.0 
198.00082406201352 10.760881371255536 15.0 1.0433933332804375 28.0 
199.00031068308502 12.016811269993227 15.0 0.872179011150751 28.0 
200.00073192794406 15.702777264132289 15.0 0.7728751053353772 28.0 
201.00193999055392 16.157703589154547 15.0 1.0533041813618889 28.0 
202.00155239537003 15.271782239991909 15.0 1.3255791503403649 27.0 
203.00134569796992 16.19539584944921 15.0 1.359474121508446 26.0 
204.0053106961559 16.600178640511416 15.0 1.3381100472155278 26.0 
205.0021579460411 15.720063781808632 15.0 1.7444706355419222 26.0 
206.00294017023037 13.401261080797923 15.0 1.0402275563738814 26.0 
207.00458224593376 14.183493599803182 17.0 0.6980030040254861 26.0 
208.00134712277335 14.773759572734111 18.0 0.7407613474592152 26.0 
209.00018774281762 16.355627066134566 16.0 1.2733485096887562 25.0 
210.00234682348733 17.52228743564641 16.0 1.682672570813076 25.0 
211.00359478424176 19.408008062220812 16.0 3.0652173288556317 25.0 
212.00234485507303 20.430495411204397 14.0 3.3865704576055533 24.0 
213.0022661862982 21.705695201274512 14.0 3.324946663641915 27.0 
214.0011516417436 23.25768190261854 14.0 2.485673953059583 26.0 
215.0003947475015 24.403271507637722 14.0 3.215484612908206 26.0 
216.0015373127938 24.9858207545375 14.0 4.311457711354641 26.0 
217.0002506888383 25.10658363986649 14.0 4.413682826762375 25.0 
218.0003399490067 25.278511162170485 14.0 5.098430036471503 25.0 
219.0011907510107 25.620423658385302 14.0 5.71531580922322 25.0 
220.00074826472144 26.25411112308894 14.0 5.910758934886608 25.0 
221.0017635382529 26.538343725056045 14.0 6.032088929639663 25.0 
222.00360390388587 26.159104237179807 14.0 5.7771195616284645 26.0 
223.0027423020279 26.672235118751765 14.0 6.073659050057351 26.0 
224.0025688578186 26.514541006859584 14.0 5.675477144563966 26.0 
225.00012790323524 27.103023954452183 14.0 5.6345837404484 26.0 
